# Метеостанция Лондон / Сент-Джеймский парк, Великобритания, WMO_ID=3770, выборка с 01.01.2013 по 30.07.2013, все дни
# Кодировка: ANSI
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=3770&lang=ru
#
"Местное время в Лондоне / Сент-Джеймском парке";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"30.07.2013 22:00";"19.3";"";"";"";"79";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.5";"";"";"";"";"";"";
"30.07.2013 19:00";"21.0";"";"";"";"75";"";"";"";"";"";" ";"";"";"";"21.7";"";"";"";"";"";"";"16.3";"6.0";"12";"";"";"";"";
"30.07.2013 16:00";"19.5";"";"";"";"86";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.1";"";"";"";"";"";"";
"30.07.2013 13:00";"17.1";"";"";"";"94";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.1";"5.0";"6";"";"";"";"";
"30.07.2013 10:00";"15.8";"";"";"";"93";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.7";"";"";"";"";"";"";
"30.07.2013 07:00";"16.3";"";"";"";"86";"";"";"";"";"";" ";"";"";"15.8";"";"";"";"";"";"";"";"14.0";"Осадков нет";"12";"";"14.0";"";"";
"30.07.2013 04:00";"16.1";"";"";"";"87";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.0";"";"";"";"";"";"";
"30.07.2013 01:00";"16.5";"";"";"";"87";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.4";"Осадков нет";"6";"";"";"";"";
"29.07.2013 22:00";"17.4";"";"";"";"84";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.7";"";"";"";"";"";"";
"29.07.2013 19:00";"21.4";"";"";"";"53";"";"";"";"";"";" ";"";"";"";"23.5";"";"";"";"";"";"";"11.3";"Осадков нет";"12";"";"";"";"";
"29.07.2013 16:00";"21.9";"";"";"";"57";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.1";"";"";"";"";"";"";
"29.07.2013 13:00";"22.3";"";"";"";"61";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.5";"Осадков нет";"6";"";"";"";"";
"29.07.2013 10:00";"19.5";"";"";"";"74";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.8";"";"";"";"";"";"";
"29.07.2013 07:00";"16.8";"";"";"";"89";"";"";"";"";"";" ";"";"";"16.2";"";"";"";"";"";"";"";"14.9";"3.0";"12";"";"15.0";"";"";
"29.07.2013 04:00";"16.8";"";"";"";"89";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.0";"";"";"";"";"";"";
"29.07.2013 01:00";"16.7";"";"";"";"92";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.3";"3.0";"6";"";"";"";"";
"28.07.2013 22:00";"19.6";"";"";"";"67";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.4";"";"";"";"";"";"";
"28.07.2013 19:00";"21.5";"";"";"";"57";"";"";"";"";"";" ";"";"";"";"23.9";"";"";"";"";"";"";"12.7";"Осадков нет";"12";"";"";"";"";
"28.07.2013 16:00";"22.3";"";"";"";"55";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.9";"";"";"";"";"";"";
"28.07.2013 13:00";"23.5";"";"";"";"55";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.9";"Осадков нет";"6";"";"";"";"";
"28.07.2013 10:00";"19.9";"";"";"";"69";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.0";"";"";"";"";"";"";
"28.07.2013 07:00";"15.7";"";"";"";"89";"";"";"";"";"";" ";"";"";"15.4";"";"";"";"";"";"";"";"13.9";"7.0";"12";"";"14.0";"";"";
"28.07.2013 04:00";"16.5";"";"";"";"90";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.8";"";"";"";"";"";"";
"28.07.2013 01:00";"17.1";"";"";"";"94";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.1";"7.0";"6";"";"";"";"";
"27.07.2013 22:00";"18.4";"";"";"";"93";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.2";"";"";"";"";"";"";
"27.07.2013 19:00";"23.8";"";"";"";"71";"";"";"";"";"";" ";"";"";"";"28.6";"";"";"";"";"";"";"18.2";"Осадков нет";"12";"";"";"";"";
"27.07.2013 16:00";"26.6";"";"";"";"43";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.0";"";"";"";"";"";"";
"27.07.2013 13:00";"26.7";"";"";"";"42";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.8";"Осадков нет";"6";"";"";"";"";
"27.07.2013 10:00";"22.0";"";"";"";"58";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.3";"";"";"";"";"";"";
"27.07.2013 07:00";"16.2";"";"";"";"76";"";"";"";"";"";" ";"";"";"14.9";"";"";"";"";"";"";"";"11.9";"Осадков нет";"12";"";"12.0";"";"";
"27.07.2013 04:00";"15.5";"";"";"";"76";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.2";"";"";"";"";"";"";
"27.07.2013 01:00";"18.3";"";"";"";"62";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.9";"Осадков нет";"6";"";"";"";"";
"26.07.2013 22:00";"22.3";"";"";"";"55";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.7";"";"";"";"";"";"";
"26.07.2013 19:00";"25.3";"";"";"";"44";"";"";"";"";"";" ";"";"";"";"27.0";"";"";"";"";"";"";"12.1";"Осадков нет";"12";"";"";"";"";
"26.07.2013 16:00";"25.5";"";"";"";"45";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.6";"";"";"";"";"";"";
"26.07.2013 13:00";"24.6";"";"";"";"45";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.0";"Осадков нет";"6";"";"";"";"";
"26.07.2013 10:00";"20.5";"";"";"";"63";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.3";"";"";"";"";"";"";
"26.07.2013 07:00";"16.6";"";"";"";"81";"";"";"";"";"";" ";"";"";"14.8";"";"";"";"";"";"";"";"13.3";"Осадков нет";"12";"";"12.0";"";"";
"26.07.2013 04:00";"16.5";"";"";"";"79";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.9";"";"";"";"";"";"";
"26.07.2013 01:00";"17.5";"";"";"";"77";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.3";"Осадков нет";"6";"";"";"";"";
"25.07.2013 22:00";"19.8";"";"";"";"66";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.3";"";"";"";"";"";"";
"25.07.2013 19:00";"23.4";"";"";"";"55";"";"";"";"";"";" ";"";"";"";"25.5";"";"";"";"";"";"";"13.8";"Осадков нет";"12";"";"";"";"";
"25.07.2013 16:00";"25.4";"";"";"";"55";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.7";"";"";"";"";"";"";
"25.07.2013 13:00";"23.8";"";"";"";"69";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.8";"Осадков нет";"6";"";"";"";"";
"25.07.2013 10:00";"20.8";"";"";"";"80";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.3";"";"";"";"";"";"";
"25.07.2013 07:00";"17.1";"";"";"";"93";"";"";"";"";"";" ";"";"";"16.8";"";"";"";"";"";"";"";"15.9";"7.0";"12";"";"15.0";"";"";
"25.07.2013 04:00";"18.8";"";"";"";"83";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.8";"";"";"";"";"";"";
"25.07.2013 01:00";"18.9";"";"";"";"79";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.2";"Осадков нет";"6";"";"";"";"";
"24.07.2013 22:00";"21.6";"";"";"";"64";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.4";"";"";"";"";"";"";
"24.07.2013 19:00";"24.4";"";"";"";"53";"";"";"";"";"";" ";"";"";"";"27.1";"";"";"";"";"";"";"14.1";"Осадков нет";"12";"";"";"";"";
"24.07.2013 16:00";"25.7";"";"";"";"47";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.5";"";"";"";"";"";"";
"24.07.2013 13:00";"23.7";"";"";"";"60";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.4";"Осадков нет";"6";"";"";"";"";
"24.07.2013 10:00";"20.1";"";"";"";"70";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.4";"";"";"";"";"";"";
"24.07.2013 07:00";"16.4";"";"";"";"85";"";"";"";"";"";" ";"";"";"15.8";"";"";"";"";"";"";"";"13.8";"Осадков нет";"12";"";"14.0";"";"";
"24.07.2013 04:00";"16.6";"";"";"";"84";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.8";"";"";"";"";"";"";
"24.07.2013 01:00";"18.9";"";"";"";"76";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.5";"Осадков нет";"6";"";"";"";"";
"23.07.2013 22:00";"21.9";"";"";"";"66";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.3";"";"";"";"";"";"";
"23.07.2013 19:00";"25.2";"";"";"";"64";"";"";"";"";"";" ";"";"";"";"28.0";"";"";"";"";"";"";"17.9";"0.6";"12";"";"";"";"";
"23.07.2013 16:00";"27.3";"";"";"";"55";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.4";"";"";"";"";"";"";
"23.07.2013 13:00";"26.5";"";"";"";"65";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"19.3";"0.6";"6";"";"";"";"";
"23.07.2013 10:00";"22.6";"";"";"";"78";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.6";"";"";"";"";"";"";
"23.07.2013 07:00";"20.2";"";"";"";"95";"";"";"";"";"";" ";"";"";"19.0";"";"";"";"";"";"";"";"19.3";"9.0";"12";"";"19.0";"";"";
"23.07.2013 04:00";"19.3";"";"";"";"96";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.7";"";"";"";"";"";"";
"23.07.2013 01:00";"20.5";"";"";"";"93";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"19.3";"3.0";"6";"";"";"";"";
"22.07.2013 22:00";"25.5";"";"";"";"52";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.0";"";"";"";"";"";"";
"22.07.2013 19:00";"30.6";"";"";"";"38";"";"";"";"";"";" ";"";"";"";"33.3";"";"";"";"";"";"";"14.8";"Осадков нет";"12";"";"";"";"";
"22.07.2013 16:00";"32.5";"";"";"";"35";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.9";"";"";"";"";"";"";
"22.07.2013 13:00";"29.6";"";"";"";"51";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.3";"Осадков нет";"6";"";"";"";"";
"22.07.2013 10:00";"22.6";"";"";"";"70";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.8";"";"";"";"";"";"";
"22.07.2013 07:00";"18.5";"";"";"";"80";"";"";"";"";"";" ";"";"";"17.7";"";"";"";"";"";"";"";"15.0";"Осадков нет";"12";"";"15.0";"";"";
"22.07.2013 04:00";"18.5";"";"";"";"84";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.8";"";"";"";"";"";"";
"22.07.2013 01:00";"19.3";"";"";"";"80";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.7";"Осадков нет";"6";"";"";"";"";
