# Метеостанция Берлин / Темпельхоф, Германия, WMO_ID=10384, выборка с 01.01.2014 по 31.12.2014, все дни
# Кодировка: ANSI
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=10384&lang=ru
#
"Местное время в Берлине / Темпельхофе";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2014 23:00";"5.0";"769.4";"774.1";"0.4";"99";"Ветер, дующий с запада";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.9";"";"";"";"";"";"";
"31.12.2014 22:00";"4.8";"769.5";"774.1";"0.6";"99";"Ветер, дующий с запада";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.7";"";"";"";"";"";"";
"31.12.2014 21:00";"4.9";"769.3";"774.0";"0.7";"99";"Ветер, дующий с запада";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.8";"";"";"";"";"";"";
"31.12.2014 20:00";"4.6";"769.0";"773.6";"0.6";"100";"Ветер, дующий с запада";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.6";"";"";"";"";"";"";
"31.12.2014 19:00";"4.2";"768.9";"773.5";"0.9";"99";"Ветер, дующий с запада";"3";"";"";"";" ";"";"";"1.9";"4.2";"";"";"";"";"";"";"4.1";"0.9";"12";"";"";"";"";
"31.12.2014 18:00";"4.0";"768.6";"773.2";"0.8";"99";"Ветер, дующий с запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.9";"";"";"";"";"";"";
"31.12.2014 17:00";"3.8";"768.4";"773.0";"0.6";"99";"Ветер, дующий с запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.6";"";"";"";"";"";"";
"31.12.2014 16:00";"3.6";"768.0";"772.6";"0.1";"99";"Ветер, дующий с запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.5";"";"";"";"";"";"";
"31.12.2014 15:00";"3.4";"767.8";"772.5";"-0.2";"99";"Ветер, дующий с запада";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.2";"";"";"";"";"";"";
"31.12.2014 14:00";"3.3";"767.8";"772.5";"-0.2";"98";"Ветер, дующий с запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.0";"";"";"";"";"";"";
