# Метеостанция Нур-Султан, Казахстан, WMO_ID=35188, выборка с 01.01.2017 по 31.12.2017, все дни
# Кодировка: ANSI
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=35188&lang=ru
#
"Местное время в Нур-Султане";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 21:00";"-9.0";"748.9";"783.4";"0.3";"78";"Ветер, дующий с востоко-юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"-3.5";"";"";"";"";"";"";"-12.1";"";"";"";"";"";"";
"31.12.2017 18:00";"-7.4";"748.6";"782.8";"0.4";"75";"Ветер, дующий с востока";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-11.1";"";"";"";"";"";"";
"31.12.2017 15:00";"-4.1";"748.2";"781.9";"0.0";"65";"Ветер, дующий с востоко-юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-9.7";"";"";"";"";"";"";
"31.12.2017 12:00";"-6.9";"748.2";"782.3";"0.4";"91";"Штиль, безветрие";"0";"";"";"Облаков нет.";"Облака в целом рассеиваются или становятся менее развитыми. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"-13.1";"";"";"";"";"";"";"10.0";"-8.1";"";"";"";"";"";"";
"31.12.2017 09:00";"-12.9";"747.8";"782.7";"0.7";"87";"Ветер, дующий с северо-востока";"1";"";"";"Облаков нет.";"Облака в целом рассеиваются или становятся менее развитыми. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"";"";"";"";"";"";"";"10.0";"-14.6";"";"";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"18.0";
"31.12.2017 06:00";"-6.9";"747.1";"781.2";"0.1";"93";"Ветер, дующий с востока";"2";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"";"";"";"";"";"";"-7.8";"";"";"";"";"";"";
"31.12.2017 03:00";"-6.2";"747.0";"781.0";"0.5";"93";"Ветер, дующий с востоко-северо-востока";"1";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"100-200";"";"";"";"-7.1";"";"";"";"";"";"";
"31.12.2017 00:00";"-9.1";"746.5";"780.9";"0.4";"85";"Ветер, дующий с северо-востока";"1";"";"";"Облаков нет.";"Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"-6.7";"";"";"";"";"";"";"-11.2";"";"";"";"";"";"";
"30.12.2017 21:00";"-7.1";"746.1";"780.1";"0.5";"78";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";"Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"-6.7";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"1500-2000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"";"-10.3";"";"";"";"";"";"";
"30.12.2017 18:00";"-7.2";"745.6";"779.6";"0.4";"76";"Штиль, безветрие";"0";"";"";"100%.";"Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"600-1000";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"";"-10.7";"";"";"";"";"";"";
