# Метеостанция Варшава / Окенце (аэропорт), Польша, WMO_ID=12375, выборка с 01.01.2014 по 31.12.2014, все дни
# Кодировка: ANSI
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=12375&lang=ru
#
"Местное время в Варшаве / Окенце (аэропорт)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2014 23:00";"0.0";"761.3";"771.5";"-0.2";"96";"Ветер, дующий с запада";"3";"";"";"100%.";"Морось замерзающая слабая. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"90  или более, но не 100%";"50-100";"";"";"3.1";"-0.6";"";"";"";"";"";"";
"31.12.2014 21:00";"-0.2";"761.6";"771.8";"-0.1";"95";"Ветер, дующий с западо-юго-запада";"2";"";"";"100%.";"Замерзающая морось или замерзающий дождь неливневые. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"90  или более, но не 100%";"100-200";"";"";"4.0";"-0.9";"";"";"";"";"";"";
"31.12.2014 20:00";"-0.7";"761.5";"771.7";"-0.2";"95";"Ветер, дующий с западо-юго-запада";"2";"";"";"100%.";"Морось замерзающая слабая. ";"Морось.";"Морось.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"100-200";"";"";"4.0";"-1.4";"";"";"";"";"";"";
"31.12.2014 19:00";"-1.2";"761.7";"772.0";"0.0";"94";"Ветер, дующий с западо-юго-запада";"3";"";"";"100%.";"Морось замерзающая слабая. ";"Морось.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-5.7";"-1.2";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"100-200";"";"";"3.5";"-2.0";"Следы осадков";"12";"";"";"";"";
"31.12.2014 18:00";"-1.4";"761.7";"772.0";"0.0";"91";"Ветер, дующий с юго-запада";"3";"";"";"100%.";"Морось замерзающая слабая. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"90  или более, но не 100%";"200-300";"";"";"5.0";"-2.7";"";"";"";"";"";"";
"31.12.2014 17:00";"-1.2";"761.7";"772.0";"0.0";"84";"Ветер, дующий с западо-юго-запада";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"300-600";"";"";"10.0";"-3.6";"";"";"";"";"";"";
"31.12.2014 16:00";"-1.5";"761.7";"772.0";"-0.4";"80";"Ветер, дующий с юго-запада";"2";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"300-600";"";"";"8.0";"-4.5";"";"";"";"";"";"";
"31.12.2014 15:00";"-1.8";"761.7";"772.0";"-0.9";"78";"Ветер, дующий с юго-запада";"2";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"1000-1500";"";"";"9.0";"-5.1";"";"";"";"";"";"";
"31.12.2014 14:00";"-2.2";"761.7";"772.0";"-1.3";"77";"Ветер, дующий с юго-запада";"3";"";"";"90  или более, но не 100%";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"300-600";"";"";"9.0";"-5.7";"";"";"";"";"";"";
"31.12.2014 13:00";"-2.8";"762.1";"772.4";"-1.3";"75";"Ветер, дующий с юго-запада";"3";"";"";"90  или более, но не 100%";"Облака в целом рассеиваются или становятся менее развитыми. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"300-600";"";"";"10.0";"-6.6";"Следы осадков";"6";"";"";"";"";
