# Метеостанция Варшава / Окенце (аэропорт), Польша, WMO_ID=12375, выборка с 01.01.2017 по 31.12.2017, все дни
# Кодировка: ANSI
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=12375&lang=ru
#
"Местное время в Варшаве / Окенце (аэропорт)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 23:00";"7.5";"744.1";"753.7";"-0.9";"97";"Ветер, дующий с юго-юго-запада";"1";"";"";"100%.";"Дождь (незамерзающий) неливневый. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"200-300";"";"";"10.0";"7.1";"";"";"";"";"";"";
"31.12.2017 22:00";"6.2";"744.5";"754.2";"-0.6";"98";"Ветер, дующий с юга";"2";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"200-300";"";"";"5.0";"5.9";"";"";"";"";"";"";
"31.12.2017 21:00";"4.6";"744.7";"754.4";"-0.7";"97";"Ветер, дующий с юга";"3";"";"";"100%.";"Дождь (незамерзающий) неливневый. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"200-300";"";"";"7.0";"4.2";"";"";"";"";"";"";
"31.12.2017 20:00";"3.9";"745.0";"754.8";"-0.6";"94";"Ветер, дующий с юго-юго-востока";"2";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"600-1000";"";"";"10.0";"3.0";"";"";"";"";"";"";
"31.12.2017 19:00";"2.8";"745.1";"754.9";"-0.8";"96";"Ветер, дующий с юго-востока";"2";"";"";"90  или более, но не 100%";" ";"";"";"2.4";"5.3";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"1500-2000";"";"";"10.0";"2.2";"0.1";"12";"";"";"";"";
"31.12.2017 18:00";"2.7";"745.4";"755.2";"-0.2";"94";"Ветер, дующий с юго-востока";"3";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"1.8";"";"";"";"";"";"";
"31.12.2017 17:00";"3.1";"745.6";"755.5";"0.2";"94";"Ветер, дующий с юго-юго-востока";"1";"";"";"50%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"50%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"2.2";"";"";"";"";"";"";
"31.12.2017 16:00";"4.2";"745.9";"755.8";"1.2";"89";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"300-600";"";"";"20.0";"2.5";"";"";"";"";"";"";
"31.12.2017 15:00";"4.5";"745.6";"755.4";"1.4";"87";"Ветер, дующий с запада";"3";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"300-600";"";"";"20.0";"2.5";"";"";"";"";"";"";
"31.12.2017 14:00";"4.7";"745.4";"755.2";"1.3";"84";"Ветер, дующий с запада";"4";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"300-600";"";"";"20.0";"2.2";"";"";"";"";"";"";
"31.12.2017 13:00";"4.9";"744.7";"754.4";"1.2";"82";"Ветер, дующий с запада";"6";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"600-1000";"";"";"20.0";"2.1";"0.1";"6";"";"";"";"";
"31.12.2017 12:00";"5.0";"744.2";"754.0";"1.7";"82";"Ветер, дующий с запада";"6";"11";"12";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"600-1000";"";"";"20.0";"2.2";"";"";"";"";"";"";
"31.12.2017 11:00";"5.1";"744.1";"753.8";"2.5";"83";"Ветер, дующий с запада";"8";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"90  или более, но не 100%";"300-600";"";"";"20.0";"2.4";"";"";"";"";"";"";
"31.12.2017 10:00";"5.0";"743.5";"753.2";"2.6";"92";"Ветер, дующий с запада";"5";"";"11";"90  или более, но не 100%";"Ливневый(ые) дождь(и). ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"90  или более, но не 100%";"300-600";"";"";"15.0";"3.8";"";"";"";"";"";"";
"31.12.2017 09:00";"5.2";"742.5";"752.2";"1.8";"89";"Ветер, дующий с запада";"6";"11";"11";"90  или более, но не 100%";"Ливневый(ые) дождь(и). ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"90  или более, но не 100%";"300-600";"";"";"15.0";"3.5";"";"";"";"";"";"";
"31.12.2017 08:00";"5.1";"741.6";"751.3";"1.1";"91";"Ветер, дующий с запада";"6";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"300-600";"";"";"10.0";"3.8";"";"";"";"";"";"";
"31.12.2017 07:00";"4.2";"740.9";"750.7";"0.3";"94";"Ветер, дующий с западо-юго-запада";"3";"";"";"90  или более, но не 100%";"Дождь (незамерзающий) неливневый. ";"Дождь со снегом или другими видами твердых осадков";"Дождь.";"-0.6";"4.2";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"300-600";"";"";"10.0";"3.3";"4.0";"12";"";"";"";"";
"31.12.2017 06:00";"3.4";"740.7";"750.4";"-0.4";"95";"Ветер, дующий с западо-юго-запада";"2";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь со снегом или другими видами твердых осадков";"Дождь со снегом или другими видами твердых осадков";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"200-300";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"10.0";"2.7";"";"";"";"";"";"";
"31.12.2017 05:00";"1.8";"740.5";"750.3";"-1.4";"96";"Ветер, дующий с юга";"3";"";"";"100%.";"Дождь или морось со снегом слабые. ";"Дождь со снегом или другими видами твердых осадков";"Дождь.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"200-300";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"8.0";"1.2";"";"";"";"";"";"";
