# Метеостанция Минск, Беларусь, WMO_ID=26850, выборка с 01.01.2017 по 31.12.2017, все дни
# Кодировка: ANSI
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=26850&lang=ru
#
"Местное время в Минске";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 21:00";"0.0";"735.1";"756.1";"0.4";"94";"Ветер, дующий с юга";"2";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"0.3";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"200-300";"";"";"4.8";"-0.8";"Следы осадков";"12";"";"";"";"";
"31.12.2017 18:00";"0.3";"734.7";"755.7";"0.5";"88";"Ветер, дующий с юго-юго-востока";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"200-300";"";"";"16.0";"-1.5";"";"";"";"";"";"";
"31.12.2017 15:00";"0.2";"734.2";"755.2";"-0.9";"85";"Ветер, дующий с юга";"3";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"15.0";"-2.0";"";"";"";"";"";"";
"31.12.2017 12:00";"-0.5";"735.1";"756.2";"-0.6";"87";"Ветер, дующий с юго-юго-востока";"3";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"600-1000";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"13.0";"-2.5";"";"";"";"";"";"";
"31.12.2017 09:00";"-1.1";"735.7";"756.9";"-1.2";"92";"Ветер, дующий с юга";"3";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-2.3";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"200-300";"";"";"7.0";"-2.3";"";"";"";"";"";"";
"31.12.2017 06:00";"-1.6";"736.9";"758.2";"-1.2";"94";"Ветер, дующий с юго-юго-востока";"2";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"3.4";"-2.4";"";"";"";"";"";"";
"31.12.2017 03:00";"-1.2";"738.1";"759.4";"-0.9";"92";"Ветер, дующий с юго-юго-востока";"1";"";"";"90  или более, но не 100%";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"7.0";"-2.3";"";"";"";"";"";"";
"31.12.2017 00:00";"-0.4";"739.0";"760.2";"-0.1";"88";"Ветер, дующий с юга";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-2.2";"";"";"";"";"";"";
"30.12.2017 21:00";"0.0";"739.1";"760.3";"-0.2";"78";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";" ";"";"";"";"1.3";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"300-600";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"21.0";"-3.5";"Следы осадков";"12";"";"";"";"";
"30.12.2017 18:00";"0.3";"739.3";"760.5";"0.9";"79";"Ветер, дующий с западо-северо-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"200-300";"";"";"22.0";"-3.0";"";"";"";"";"";"";
"30.12.2017 15:00";"0.4";"738.4";"759.4";"-0.4";"84";"Ветер, дующий с запада";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Морось.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"20.0";"-2.0";"";"";"";"";"";"";
"30.12.2017 12:00";"0.8";"738.8";"759.9";"1.1";"86";"Ветер, дующий с северо-запада";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Морось.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"200-300";"";"";"27.0";"-1.3";"";"";"";"";"";"";
"30.12.2017 09:00";"1.1";"737.7";"758.7";"1.0";"92";"Ветер, дующий с северо-северо-запада";"1";"";"";"100%.";"Морось незамерзающая непрерывная слабая в срок наблюдения. ";"Дождь.";"Морось.";"1.0";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"200-300";"";"";"17.0";"-0.1";"Следы осадков";"12";"";"";"";"";
"30.12.2017 06:00";"1.3";"736.7";"757.7";"1.3";"89";"Ветер, дующий с северо-запада";"2";"";"";"70 – 80%.";"Состояние неба в общем не изменилось. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"300-600";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"15.0";"-0.4";"";"";"";"";"";"";
"30.12.2017 03:00";"2.3";"735.4";"756.2";"1.3";"89";"Ветер, дующий с западо-северо-запада";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"300-600";"Высококучевые просвечивающие, расположенные на одном уровне.";"";"17.0";"0.7";"";"";"";"";"";"";
"30.12.2017 00:00";"3.6";"734.1";"754.8";"1.4";"88";"Ветер, дующий с запада";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"15.0";"1.8";"";"";"";"";"";"";
"29.12.2017 21:00";"5.6";"732.7";"753.1";"0.9";"93";"Ветер, дующий с юго-запада";"3";"";"";"100%.";"Дымка. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"6.6";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"200-300";"";"";"9.0";"4.6";"3.0";"12";"";"";"";"";
"29.12.2017 18:00";"6.3";"731.8";"752.2";"-0.1";"98";"Ветер, дующий с юго-юго-востока";"2";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"8.0";"6.0";"";"";"";"";"";"";
"29.12.2017 15:00";"6.6";"731.9";"752.3";"-0.5";"97";"Ветер, дующий с юго-востока";"3";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Морось.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"200-300";"";"";"4.2";"6.2";"";"";"";"";"";"";
"29.12.2017 12:00";"5.6";"732.4";"752.8";"0.2";"99";"Ветер, дующий с юго-востока";"2";"";"";"100%.";"Дымка. ";"Морось.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"100-200";"";"";"1.3";"5.5";"";"";"";"";"";"";
"29.12.2017 09:00";"4.6";"732.2";"752.8";"0.1";"98";"Ветер, дующий с юго-востока";"2";"";"";"100%.";"Дымка. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"0.6";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"200-300";"";"";"3.2";"4.3";"0.2";"12";"";"";"";"";
"29.12.2017 06:00";"3.8";"732.1";"752.7";"-0.3";"99";"Ветер, дующий с юга";"2";"";"";"100%.";"Дождь (незамерзающий) неливневый. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"3.5";"3.6";"";"";"";"";"";"";
"29.12.2017 03:00";"2.4";"732.4";"753.1";"-0.6";"99";"Ветер, дующий с юго-юго-востока";"3";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Буря";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"200-300";"";"";"3.0";"2.2";"";"";"";"";"";"";
"29.12.2017 00:00";"1.0";"733.0";"754.0";"0.2";"100";"Ветер, дующий с юго-юго-востока";"4";"";"10";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"200-300";"";"";"2.5";"1.0";"";"";"";"";"";"";
"28.12.2017 21:00";"0.6";"732.8";"753.7";"0.4";"99";"Ветер, дующий с юго-юго-востока";"4";"10";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"2.3";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"200-300";"";"";"1.3";"0.5";"";"";"";"";"";"";
"28.12.2017 18:00";"0.7";"732.4";"753.4";"0.3";"98";"Ветер, дующий с юго-востока";"4";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"200-300";"";"";"2.2";"0.4";"";"";"";"";"";"";
"28.12.2017 15:00";"2.2";"732.1";"752.8";"-0.3";"90";"Ветер, дующий с юго-востока";"3";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"13.0";"0.7";"";"";"";"";"";"";
"28.12.2017 12:00";"1.0";"732.4";"753.3";"0.3";"94";"Ветер, дующий с юго-востока";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"600-1000";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"9.0";"0.2";"";"";"";"";"";"";
"28.12.2017 09:00";"0.5";"732.1";"753.1";"0.3";"96";"Ветер, дующий с юго-востока";"3";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-1.1";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"8.0";"-0.1";"";"";"";"";"";"";
"28.12.2017 06:00";"0.5";"731.8";"752.7";"-0.7";"98";"Ветер, дующий с юго-востока";"2";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"8.0";"0.2";"";"";"";"";"";"";
"28.12.2017 03:00";"-0.4";"732.5";"753.5";"-0.3";"100";"Ветер, дующий с юго-востока";"1";"";"";"100%.";"Дымка. ";"Туман или ледяной туман или сильная мгла.";"Туман или ледяной туман или сильная мгла.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"200-300";"";"";"2.3";"-0.4";"";"";"";"";"";"";
"28.12.2017 00:00";"-0.9";"732.8";"753.8";"0.2";"100";"Ветер, дующий с юго-востока";"2";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. ";"Туман или ледяной туман или сильная мгла.";"Туман или ледяной туман или сильная мгла.";"";"";"";"";"";"";"";"0.3";"-0.9";"";"";"";"";"";"";
"27.12.2017 21:00";"-0.3";"732.6";"753.6";"0.0";"100";"Ветер, дующий с юго-юго-востока";"1";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"1.2";"";"";"";"";"";"0.4";"-0.3";"";"";"";"";"";"";
"27.12.2017 18:00";"0.3";"732.6";"753.5";"0.5";"100";"Ветер, дующий с юга";"2";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман или ледяной туман, неба не видно, начался или усилился в течение последнего часа. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"";"";"";"";"";"0.6";"0.3";"";"";"";"";"";"";
"27.12.2017 15:00";"1.0";"732.1";"753.0";"-0.1";"96";"Штиль, безветрие";"0";"";"";"100%.";"Дымка. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"200-300";"";"";"2.6";"0.4";"";"";"";"";"";"";
"27.12.2017 12:00";"0.3";"732.2";"753.1";"0.7";"99";"Ветер, дующий с юго-запада";"2";"";"";"100%.";"Туман или ледяной туман. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"200-300";"";"";"1.2";"0.1";"";"";"";"";"";"";
