# Метеостанция Минск, Беларусь, WMO_ID=26850, выборка с 01.01.2018 по 31.12.2018, все дни
# Кодировка: ANSI
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=26850&lang=ru
#
"Местное время в Минске";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2018 21:00";"0.3";"746.8";"768.5";"0.9";"95";"Штиль, безветрие";"0";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Дождь со снегом или другими видами твердых осадков";"Дождь.";"";"1.2";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"200-300";"";"";"10.0";"-0.4";"3.0";"12";"";"";"";"";
"31.12.2018 18:00";"0.4";"745.9";"767.5";"1.3";"96";"Ветер, дующий с северо-востока";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Дождь со снегом или другими видами твердых осадков";"Дождь.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"200-300";"";"";"10.0";"-0.2";"";"";"";"";"";"";
"31.12.2018 15:00";"0.6";"744.6";"766.2";"1.0";"97";"Ветер, дующий с северо-северо-востока";"2";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Дождь со снегом или другими видами твердых осадков";"Дождь.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"200-300";"";"";"10.0";"0.2";"";"";"";"";"";"";
"31.12.2018 12:00";"0.7";"743.6";"765.2";"1.3";"99";"Штиль, безветрие";"0";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Дождь со снегом или другими видами твердых осадков";"Дождь.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"100-200";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"2.8";"0.6";"";"";"";"";"";"";
"31.12.2018 09:00";"0.4";"742.3";"763.9";"0.9";"100";"Штиль, безветрие";"0";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Туман или ледяной туман или сильная мгла.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"200-300";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-слоистые, покрывающие все небо.";"6.0";"0.4";"0.1";"12";"";"";"";"";
"31.12.2018 06:00";"0.9";"741.4";"762.9";"-0.3";"100";"Ветер, дующий с юга";"1";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"";"";"";"";"";"0.8";"0.9";"";"";"";"";"";"";
"31.12.2018 03:00";"1.0";"741.7";"763.2";"0.2";"99";"Ветер, дующий с юго-запада";"2";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"200-300";"";"";"1.5";"0.9";"";"";"";"";"";"";
"31.12.2018 00:00";"0.8";"741.5";"763.0";"";"99";"Ветер, дующий с юго-юго-запада";"2";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"200-300";"";"";"2.7";"0.7";"";"";"";"";"";"";
"30.12.2018 21:00";"0.8";"";"";"";"98";"Ветер, дующий с юго-юго-запада";"2";"";"";"100%.";" ";"";"";"";"";"";"";"200-300";"";"";"3.5";"0.5";"";"";"";"";"";"";
"30.12.2018 18:00";"0.7";"741.4";"762.9";"0.1";"97";"Ветер, дующий с юга";"3";"";"";"100%.";"Дымка. ";"Ливень (ливни).";"Морось.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"200-300";"";"";"6.0";"0.3";"";"";"";"";"";"";
