# Метеостанция Иркутск, Россия, WMO_ID=30710, выборка с 01.01.2019 по 31.12.2019, все дни
# Кодировка: ANSI
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=30710&lang=ru
#
"Местное время в Иркутске";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"12.07.2019 14:00";"21.9";"719.7";"759.4";"-0.7";"68";"Ветер, дующий с западо-северо-запада";"2";"";"";"100%.";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"20.0";"15.7";"";"";"";"";"";"";
"12.07.2019 11:00";"19.9";"720.4";"760.4";"0.1";"74";"Ветер, дующий с западо-северо-запада";"2";"";"";"100%.";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"50.0";"15.2";"";"";"";"";"";"";
"12.07.2019 08:00";"18.9";"720.3";"760.5";"0.3";"77";"Ветер, дующий с западо-северо-запада";"3";"";"";"100%.";" ";"";"";"18.1";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"50.0";"14.7";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"21.0";"";"";
"12.07.2019 05:00";"18.1";"720.0";"760.3";"0.2";"79";"Ветер, дующий с западо-северо-запада";"3";"";"";"100%.";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"20.0";"14.4";"";"";"";"";"";"";
"12.07.2019 02:00";"18.4";"719.8";"760.0";"0.3";"76";"Ветер, дующий с западо-северо-запада";"2";"";"";"100%.";"Видна молния, грома не слышно. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"";"14.0";"";"";"";"";"";"";
"11.07.2019 23:00";"19.5";"719.5";"759.4";"1.7";"76";"Ветер, дующий с западо-северо-запада";"3";"";"11";"70 – 80%.";"Видна молния, грома не слышно. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"";"15.2";"";"";"";"";"";"";
"11.07.2019 20:00";"23.1";"717.8";"757.2";"1.4";"69";"Ветер, дующий с западо-северо-запада";"4";"";"11";"70 – 80%.";" ";"";"";"";"30.6";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"40%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"17.0";"Осадков нет";"12";"";"";"";"";
"11.07.2019 17:00";"28.8";"716.4";"754.9";"-0.4";"54";"Ветер, дующий с западо-северо-запада";"4";"";"10";"20–30%.";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"20–30%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"18.6";"";"";"";"";"";"";
"11.07.2019 14:00";"28.9";"716.8";"755.4";"0.2";"42";"Ветер, дующий с севера";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"14.7";"";"";"";"";"";"";
"11.07.2019 11:00";"25.1";"716.6";"755.8";"0.8";"51";"Ветер, дующий с западо-северо-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"14.1";"";"";"";"";"";"";
